username,repo_name,stars,repo_url
amphp,amp,3900,https://github.com/amphp/amp
danog,MadelineProto,2400,https://github.com/danog/MadelineProto
amphp,http-server,1200,https://github.com/amphp/http-server
unreal4u,telegram-api,759,https://github.com/unreal4u/telegram-api
amphp,parallel,666,https://github.com/amphp/parallel
amphp,http-client,657,https://github.com/amphp/http-client
php-service-bus,service-bus,340,https://github.com/php-service-bus/service-bus
amphp,byte-stream,330,https://github.com/amphp/byte-stream
amphp,mysql,314,https://github.com/amphp/mysql
amphp,parallel-functions,243,https://github.com/amphp/parallel-functions
amphp,process,212,https://github.com/amphp/process
amphp,socket,192,https://github.com/amphp/socket
xtrime-ru,TelegramRSS,173,https://github.com/xtrime-ru/TelegramRSS
amphp,redis,139,https://github.com/amphp/redis
amphp,sync,136,https://github.com/amphp/sync
amphp,dns,136,https://github.com/amphp/dns
amphp,websocket-client,123,https://github.com/amphp/websocket-client
kelunik,acme,118,https://github.com/kelunik/acme
amphp,serialization,97,https://github.com/amphp/serialization
amphp,websocket-server,94,https://github.com/amphp/websocket-server
