username,repo_name,stars,repo_url
sindresorhus,awesome,256000,https://github.com/sindresorhus/awesome
vinta,awesome-python,170000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,134000,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,102000,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,99000,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,73100,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,69500,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,65500,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,60900,https://github.com/jaywcjlove/awesome-mac
enaqx,awesome-react,55800,https://github.com/enaqx/awesome-react
DopplerHQ,awesome-interview-questions,55500,https://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,51700,https://github.com/MunGell/awesome-for-beginners
sindresorhus,awesome-nodejs,51300,https://github.com/sindresorhus/awesome-nodejs
prakhar1989,awesome-courses,47400,https://github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,47000,https://github.com/Solido/awesome-flutter
fffaraz,awesome-cpp,46600,https://github.com/fffaraz/awesome-cpp
wasabeef,awesome-android-ui,46500,https://github.com/wasabeef/awesome-android-ui
binhnguyennus,awesome-scalability,45300,https://github.com/binhnguyennus/awesome-scalability
vsouza,awesome-ios,43000,https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,41200,https://github.com/tiimgreen/github-cheat-sheet
